ISO3,Result,Phase
AFG,n,0
ALB,n,0
DZA,n,0
AGO,n,0
ARG,n,0
ARM,n,2
AUS,n,1
AUT,n,0
AZE,n,2
BHR,n,1
NGD,o,0
BLR,n,2
BEL,n,1
BEN,m,3
BOL,n,0
BIH,n,2
BWA,m,3
BRA,n,0
BGR,n,0
BFA,m,3
BDI,n,0
KHM,o,0
CMR,n,0
CAN,n,1
RCA,n,0
TCD,m,3
RCH,n,0
CHN,n,0
COL,n,0
COG,n,2
COD,b,3
CRI,n,0
CIV,m,3
HRV,n,2
CUB,n,0
CYP,n,2
CZE,n,0
DNK,n,1
DOM,n,0
ECU,n,0
EGY,n,0
SLV,n,2
ERI,b,3
EST,n,2
ETH,o,0
FIN,n,0
FRA,n,0
GAB,n,0
GMB,n,0
GEO,n,2
DEU,n,0
GHA,m,3
GRC,n,0
GTM,n,0
GIN,m,3
GNB,n,0
HTI,n,0
HND,n,0
HKG,n,1
HUN,n,2
IND,b,3
IDN,m,3
IRN,n,0
IRQ,n,0
IRL,n,0
ISR,n,0
ITA,n,1
JAM,n,2
JPN,n,0
JOR,n,2
KAZ,n,2
KEN,b,3
PRK,o,0
KOR,n,0
KWT,n,0
KGZ,n,2
LAO,m,3
LVA,n,2
LBN,n,0
LSO,n,0
LBR,n,0
LBY,n,0
LTU,n,2
MKD,n,2
MDG,n,0
MWI,b,3
MYS,n,0
MLI,m,3
MRT,b,3
MUS,n,2
MEX,n,0
MDA,n,2
MNG,n,2
MAR,n,2
MOZ,o,0
MMR,n,0
NAM,n,0
NPL,n,0
NLD,n,1
NZL,n,0
NIC,n,0
NER,b,3
NGA,o,0
NOR,n,0
OMN,m,3
PAK,n,0
PSE,n,1
PAN,n,0
PNG,n,0
PRY,n,0
PER,n,0
PHL,n,0
POL,n,0
PRT,n,0
PRI,n,1
QAT,n,1
ROU,n,0
RUS,n,2
RWA,n,0
SAU,n,0
SEN,m,3
SLE,m,3
SGP,n,2
SVK,n,2
SVN,n,1
SOM,b,3
ZAF,n,0
ESP,n,0
LKA,n,0
SDN,b,3
SWZ,m,3
SWE,n,0
CHE,n,0
SYR,n,2
TJK,m,3
TZA,n,0
THA,n,0
TLS,m,3
TGO,m,3
TTO,n,0
TUN,n,0
TUR,n,2
TKM,n,2
UGA,b,3
UKR,n,2
ARE,n,0
GBR,n,1
USA,n,1
URY,n,0
UZB,n,2
VEN,n,2
VNM,n,0
YEM,n,0
ZMB,m,3
ZWE,b,3
