ISO3,Result
AFG,0
ALB,0
DZA,0
AGO,0
ARG,0
ARM,0
AUS,0
AUT,0
AZE,0
BHR,0
NGD,2
BLR,0
BEL,0
BEN,1
BOL,0
BIH,0
BWA,1
BRA,0
BGR,0
BFA,1
BDI,0
KHM,2
CMR,0
CAN,0
RCA,0
TCD,1
RCH,0
CHN,0
COL,0
COG,0
COD,3
CRI,0
CIV,1
HRV,0
CUB,0
CYP,0
CZE,0
DNK,0
DOM,0
ECU,0
EGY,0
SLV,0
ERI,3
EST,0
ETH,2
FIN,0
FRA,0
GAB,0
GMB,0
GEO,0
DEU,0
GHA,1
GRC,0
GTM,0
GIN,1
GNB,0
HTI,0
HND,0
HKG,0
HUN,0
IND,3
IDN,1
IRN,0
IRQ,0
IRL,0
ISR,0
ITA,0
JAM,0
JPN,0
JOR,0
KAZ,0
KEN,3
PRK,2
KOR,0
KWT,0
KGZ,0
LAO,1
LVA,0
LBN,0
LSO,0
LBR,0
LBY,0
LTU,0
MKD,0
MDG,0
MWI,3
MYS,0
MLI,1
MRT,3
MUS,0
MEX,0
MDA,0
MNG,0
MAR,0
MOZ,2
MMR,0
NAM,0
NPL,0
NLD,0
NZL,0
NIC,0
NER,3
NGA,2
NOR,0
OMN,1
PAK,0
PSE,0
PAN,0
PNG,0
PRY,0
PER,0
PHL,0
POL,0
PRT,0
PRI,0
QAT,0
ROU,0
RUS,0
RWA,0
SAU,0
SEN,1
SLE,1
SGP,0
SVK,0
SVN,0
SOM,3
ZAF,0
ESP,0
LKA,0
SDN,3
SWZ,1
SWE,0
CHE,0
SYR,0
TJK,1
TZA,0
THA,0
TLS,1
TGO,1
TTO,0
TUN,0
TUR,0
TKM,0
UGA,3
UKR,0
ARE,0
GBR,0
USA,0
URY,0
UZB,0
VEN,0
VNM,0
YEM,0
ZMB,1
ZWE,3
